Dutch,English,Article,Plural,Pronunciation,Part of Speech,CEFR Level,Lesson Introduced,Frequency Rank,Topic,Example Sentence,Example Translation,Notes
a,the letter a,--,--,AH,noun,A0,A0-01,1,alphabet,Dit is de letter a.,This is the letter a.,Alphabet name; introduces an open AH sound.
bee,the letter b,--,--,BAY,noun,A0,A0-01,2,alphabet,Dit is de letter bee.,This is the letter b.,Alphabet name; Dutch long ee letter-name pattern.
ee,the letter e,--,--,AY,noun,A0,A0-01,3,alphabet,De letter ee klinkt als AY.,The letter e sounds like AY.,Alphabet name; Dutch letter e differs from English.
ie,the letter i,--,--,EE,noun,A0,A0-01,4,alphabet,Dit is de letter ie.,This is the letter i.,Alphabet name; Dutch i is named with EE sound.
uu,the letter u,--,--,UU,noun,A0,A0-01,5,alphabet,De letter uu is moeilijk.,The letter u is difficult.,Alphabet name; rounded Dutch UU sound.
man,man,de,mannen,MAHN,noun,A0,A0-01,6,short_vowels,Dit is een man.,This is a man.,Clear short a in closed syllable; contrast with maan.
bed,bed,het,bedden,BED,noun,A0,A0-01,7,short_vowels,Dit is een bed.,This is a bed.,Clear short e; similar to English bed.
vis,fish,de,vissen,VISS,noun,A0,A0-01,8,short_vowels,Dit is een vis.,This is a fish.,Clear short i like English sit.
pot,pot,de,potten,POT,noun,A0,A0-01,9,short_vowels,Dit is een pot.,This is a pot.,Clear short o in closed syllable.
bus,bus,de,bussen,BUUS,noun,A0,A0-01,10,short_vowels,Dit is een bus.,This is a bus.,Short Dutch u; rounded sound.
maan,moon,de,manen,MAHN,noun,A0,A0-01,11,long_vowels,Dit is de maan.,This is the moon.,Long aa; pairs with man to show vowel length contrast.
been,leg,het,benen,BAYN,noun,A0,A0-01,12,long_vowels,Dit is een been.,This is a leg.,Long ee approximated as AY without English glide.
fiets,bicycle,de,fietsen,FEETS,noun,A0,A0-01,13,long_vowels,Dit is een fiets.,This is a bicycle.,Long ie with clear EE sound in common word.
boom,tree,de,bomen,BOHM,noun,A0,A0-01,14,long_vowels,Dit is een boom.,This is a tree.,Long oo; useful for showing double-vowel spelling.
muur,wall,de,muren,MUUR,noun,A0,A0-01,15,long_vowels,Dit is een muur.,This is a wall.,Long uu; reinforces rounded lips and sustained vowel.
huis,house,het,huizen,HOWS,noun,A0,A0-01,16,diphthongs,Dit is een huis.,This is a house.,Key ui diphthong; no exact English equivalent.
oud,old,--,--,OWT,adjective,A0,A0-01,17,diphthongs,Dit is oud.,This is old.,Clear ou diphthong; similar to OW in English now.
auto,car,de,auto's,OW-toh,noun,A0,A0-01,18,diphthongs,Dit is een auto.,This is a car.,Clear au spelling; useful contrast with ou.
ei,egg,het,eieren,EYE,noun,A0,A0-01,19,diphthongs,Dit is een ei.,This is an egg.,Short word isolating ei diphthong.
ijs,ice,het,--,EYES,noun,A0,A0-01,20,diphthongs,Dit is ijs.,This is ice.,Clear ij example; teaches ij and ei share same sound.
goed,good,--,--,KHOOT,adjective,A0,A0-01,21,consonants,Dit is goed.,This is good.,Dutch g is back-of-throat sound.
hallo,hello,--,--,HAH-loh,interjection,A0,A0-01,22,consonants,Hallo, dit is Nederlands.,Hello, this is Dutch.,Simple h example; distinguishes from guttural g.
rood,red,--,--,ROHT,adjective,A0,A0-01,23,consonants,Dit is rood.,This is red.,Dutch r may be rolled or throaty.
water,water,het,--,VAH-ter,noun,A0,A0-01,24,consonants,Dit is water.,This is water.,Dutch w between English v and w.
tafel,table,de,tafels,TAH-fuhl,noun,A0,A0-01,25,stress_patterns,Dit is een tafel.,This is a table.,Shows common Dutch first-syllable stress.
